	clean_tweets	label
0	   as a woman you shouldnt complain about cleaning up your house  as a man you should always take the trash out	0
1	   boy dats coldtyga dwn bad for cuffin dat hoe in the place	0
2	   dawg   you ever fuck a bitch and she sta to cry you be confused as shit	0
3	    she look like a tranny	0
4	   the shit you hear about me might be true or it might be faker than the bitch who told it to ya 	0
5	 the shit just blows meclaim you so faithful and down for somebody but still fucking with hoes 	0
6	 i can not just sit up and hate on another bitch  i got too much shit going on	0
7	 cause im tired of you big bitches coming for us skinny girls	0
8	  you might not get ya bitch back  thats that 	0
9	  hobbies include fighting mariam bitch	0
10	 keeks is a bitch she curves everyone  lol i walked into a conversation like this smh	0
11	 murda gang bitch its gang land 	0
12	 so hoes that smoke are losers   yea  go on ig	0
13	 bad bitches is the only thing that i like 	0
14	 bitch get up off me 	0
15	 bitch nigga miss me with it 	0
16	 bitch plz whatever 	0
17	 bitch who do you love 	0
18	 bitches get cut off everyday b 	0
19	 black bottle  a bad bitch 	0
20	 broke bitch cant tell me nothing 	0
21	 cancel that bitch like nino 	0
22	 cant you see these hoes wont change 	0
23	 fuck no that bitch dont even suck dick   the kermit videos bout to fuck ig up	0
24	 got ya bitch tip toeing on my hardwood floors   	0
25	 her pussy lips like heaven doors  	0
26	 hoe what its hitting for 	0
27	 i met that pussy on ocean dr  i gave that pussy a pill  	0
28	 i need a trippy bitch who fuck on hennessy 	0
29	 i spend my money how i want bitch its my business 	0
30	 i txt my old bitch my new bitch pussy wetter 	0
31	 id say im back to the old me but my old bitches would get excited  	0
32	 if you aint bout that murder game pussy nigga shut up 	0
33	 if youre toes aint done you pussy stinks 	0
34	 im done with bitter bitches its a wrap for that  if you a angry bird theres a app for that 	0
35	 is that ya bitch 	0
36	 it aint nothing to cut a bitch off 	0
37	 jus meet son now he ya mane ass bitches  	0
38	 lames crying over hoes thats tears of a clown 	0
39	 like snoop said in we dont love these hoes 	0
40	 momma said no pussy cats inside my doghouse 	0
41	 most hated but the hoes favorite     	0
42	 nice girls bad make me get naughty bad yello hoe real nice body down south chick like em real thick 	0
43	 pimps up pimps up hoes down  future voice	0
44	 post a picture of that pussy get likes 	0
45	 pussy is a powerful drug    	0
46	 quick piece of pussy call it a drive by 	0
47	 running round here like some brand new pussy thats bout to get fucked 	0
48	 these bitches even worst theyll send them guys for you 	0
49	 these hoes like niggas that spend money not talk bout it 	0
50	 we dont trust these niggas all these bitches 	0
51	 yall niggas b cuffing hoes cause yall aint never have bitches 	0
52	 you dodge a bullet    all da bitches i cut off pregnant or bound to be thank god 	0
53	 young pill chamberlain these bitches love my music 	0
54	 teanna trump probably cleaner than most of these twitter hoes but	0
55	 gay niggas couldnt wait to act like bitches tonight	0
